,name,cost,time,sequence,veh_list
0,MT_HECVRP_C10_RC3_V3_0.json,3.8494036,0.31877684593200684,[ 9  4  6 13  1  5  0  7 11 10  8  3 12  0  0  0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
1,MT_HECVRP_C10_RC3_V3_1.json,4.540073,0.1369922161102295,[12 11 10  0  4  9 13  0  8  5  6  7  0  0  0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
2,MT_HECVRP_C10_RC3_V3_2.json,3.4050713,0.12495183944702148,[ 9  6  0 13 10  4 12  0  7 11  8  5  0  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,MT_HECVRP_C10_RC3_V3_3.json,3.9607499,0.12293505668640137,[ 5  8 11  4  7  0  6  9 13  0 10 12  0  0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1]
4,MT_HECVRP_C10_RC3_V3_4.json,3.8308659,0.1239473819732666,[10  9 12  8 11  0  7  5  0 13  4  6  0  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
5,MT_HECVRP_C10_RC3_V3_5.json,3.7580771,0.1261742115020752,[11  4 12  9  6  0 13  7 10  0  5  8  0  0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1]
6,MT_HECVRP_C10_RC3_V3_6.json,2.9279244,0.12383890151977539,[12  9 10 11  6  5  2  0  7 13  8  4  0  0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1]
7,MT_HECVRP_C10_RC3_V3_7.json,4.140178,0.12414312362670898,[13  4 10  6 11  0  7  9 12  0  5  8  0  0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1]
8,MT_HECVRP_C10_RC3_V3_8.json,3.7692394,0.12783312797546387,[13  0  8 10 11  4  0  7  0  9 12  6  5  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
9,MT_HECVRP_C10_RC3_V3_9.json,4.1248736,0.1434171199798584,[ 8 13  7  6  0  5 12  0 10  9  4 11  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
