,name,cost,time,sequence,veh_list
0,MT_HECVRP_C50_RC6_V3_0.json,11.997133,0.6322226524353027,"[47 48 45 32 49  0 44 41 26 18 27 38  0 20 53  7 39 36  0 13 28 54 34 17
 35  4  0 16 11 15 25 10  0 31 40 42 19 55 56  0  8 50 29  0 23 22 37 46
 51 52  0 43 30 21 14  0 33  9 24 12  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1,MT_HECVRP_C50_RC6_V3_1.json,13.585764,0.3339111804962158,"[52 25 46 48 17  0 23 33 44 47 22 32  0 29 56 19  0 20 15 54 41  0  8 38
 16 51 37 49  0 55 12 36 30  0 40 27 34  0 35 50 45 18  7  0 21 43 14 11
 10  0 31 24 26 13  0 53 42  9 28  0 39  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
2,MT_HECVRP_C50_RC6_V3_2.json,13.29266,0.3263401985168457,"[23 25 36 18 49 44  0 26 53 47 16 21 55  0 42 13 22 40  0 19 38 20 33  0
 41  7 15  8 52  0 45 50 17 27  0 31 34 48 54 24  0 32 12 46  9  0 11 56
 29 51 37  0 28 10 39 35 14  0 30 43  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
3,MT_HECVRP_C50_RC6_V3_3.json,11.966228,0.3258795738220215,"[27 43 44 50  0 45 51 38 28  0 40 30 16 48 37  9  0 29 42 17 21 23 41  0
 53 14 34 24  0 49 20 22  0 19 12  7 35 11  0  8 15 52 26 25 55  0 33 18
 39 46 54 56  0 31 32 36  0 10 13 47  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
4,MT_HECVRP_C50_RC6_V3_4.json,13.451434,0.32949256896972656,"[24 28 20 22 31 40  0 45 43 41 46 23  0 52 50 13 11  0  8 29 51 19 38  0
  7 48 15 25 53  0 32 27 21  9  0 12 35 55  0 34 36 18 47  5  0 10 26 39
 17 16  0 49 44 30 37 42  0 54 14 56 33  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
5,MT_HECVRP_C50_RC6_V3_5.json,11.783373,0.3132631778717041,"[32 12 53  0 16 23 40 56  8 28 10  0 39 48 14 46 54 45  0 51 47 44 24 34
  0 55 11 52 43  0 38 30 37 17  0 31 41 25 50 19  9  0 21  7 35 13 49  0
 20 36 18 22  0 26 42 15  0 27 33  0 29  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
6,MT_HECVRP_C50_RC6_V3_6.json,13.683592,0.2843594551086426,"[18 51 38 53  0 28 48 25 54  0 21 27 52 37 56 33  0 19  9 24 12  0 39 29
 11 46 55 15  0 36 32 35 50  0 14 23 49 42 17  4  0 44 40 31 20  0 47 16
 43 41 34  0  8 13 45 26  0 22 30  7  0 10  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
7,MT_HECVRP_C50_RC6_V3_7.json,13.251888,0.2785944938659668,"[20 55 18  7  0 19 28 47 21 44 41  0 56 43 54 17 31 10  0 12 30 37 14  0
 32 22 15 39  0 29 49  0 35  9 45 36 40  0 48 51 11 25 27  0  8 38 52 13
 23 24  0 42 16 46 50  0 33 34 53 26  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
8,MT_HECVRP_C50_RC6_V3_8.json,13.409862,0.2859201431274414,"[34 56 45 37 41  0 42 48 32 55 44 31  4  0 51 19 23 53 22 26  0 17 50 52
  0 16 10 28  0 35 47  8 27  0  7 11 15 30 18 39 14  2  0 46 24 36 20  0
 43 54 29 13  0 33 25 38 49 12  0 40 21  9  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
9,MT_HECVRP_C50_RC6_V3_9.json,12.573255,0.2858893871307373,"[54 40 20 29 14 43  3  0 22 18 21 30 25  0 34 47 42 55 41 56  0 28 15 49
 48  0 51 33 11  0 24 26 35  0 32 23 16  0 36  0 31 10 50 19 17 12  0 27
  9 53 13  0  8 39 38 44 52 45  7  0 46 37  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
